year;United States of America;China;Panama;Ecuador;Brazil
2001;5344533;19907;265163;699929;166704
2002;5328470;27825;214697;811559;107823
2003;6160245;82204;170524;778966;92848
2004;7042201;137504;216490;1010665;141188
2005;8851631;236689;264140;1324408;141348
2006;9948230;452420;257484;1237076;190701
2007;10609167;784758;246322;1276036;471366
2008;14288833;442953;318980;1499562;648941
2009;13123466;949726;309589;1257334;576636
2010;17143277;1966624;936345;1824535;1040263
2011;21948535;1989061;1956816;1908592;1370308
2012;22216238;3343081;2916011;1910498;1290579
2013;18692895;5102171;3219265;1974770;1590629
2014;14470697;5755135;3615462;1884349;1622413
2015;10052617;2263725;2394166;1432593;1189887
2016;10215894;1127140;1912114;1199721;994850
2017;10975962;2004460;2699759;1465057;1363480
2018;11080579;3748187;3597082;1851967;1561755
2019;12265471;4564929;2360822;1954313;1465743
2020;9442028;2670041;1510555;1473607;1274000
