year;United States of America;China;Mexico;Brazil;Germany
2001;4442775;475405;596168;582060;560090
2002;4051198;532847;677990;642840;508304
2003;4112710;688673;744375;769003;611672
2004;4806760;1244730;935642;1352172;686601
2005;6033241;1616821;1757068;1383387;773661
2006;6960605;2219273;2290571;1884885;933215
2007;8631115;3326574;3072565;2393940;1204874
2008;11583019;4548798;3125980;2328416;1557401
2009;9505791;3715170;2297888;2146578;1338394
2010;10531813;5477428;3856674;2369637;1657634
2011;13663338;8176440;6059027;2740248;2215150
2012;14140116;9564690;6362176;2795908;2239577
2013;16428423;10362788;5495958;2590480;2206909
2014;18256281;11790385;5272632;2465559;2530978
2015;15583375;10032489;3852940;2084310;2267454
2016;11946833;8631421;3410737;2117351;1707682
2017;12096143;8754463;3436895;2286013;1873998
2018;13075918;10544729;3947394;2828205;2173253
2019;12832603;10483257;3698549;3033232;2094922
2020;10634174;10398882;2925827;2435489;1643891
